status_record_id,customer_id,status,effective_time,updated_time
S01,C001,active,2025-11-01T09:00:00Z,2025-11-01T09:00:00Z
S02,C001,suspended,2026-01-10T09:00:00Z,2026-01-10T09:05:00Z
S03,C001,active,2026-01-20T09:00:00Z,2026-01-20T09:05:00Z
S04,C002,active,2025-12-01T12:00:00Z,2025-12-01T12:00:00Z
S05,C002,closed,2026-01-25T12:00:00Z,2026-01-25T12:01:00Z
S06,C003,active,2025-12-20T18:45:00Z,2025-12-20T18:45:00Z
S07,C003,suspended,2026-01-10T00:00:00Z,2026-01-10T01:00:00Z
S08,C003,active,2026-01-10T00:00:00Z,2026-01-10T02:00:00Z
S09,C004,active,2026-01-05T12:00:00Z,2026-01-05T12:00:00Z
S10,C004,review,2026-01-15T00:00:00Z,2026-01-14T20:00:00-04:00
S11,C005,active,2025-10-10T14:00:00Z,2025-10-10T14:00:00Z
S12,C006,active,2025-09-01T00:00:00Z,2025-09-01T00:00:00Z
S13,C006,suspended,2026-01-30T00:00:00Z,2026-01-30T00:01:00Z
S14,C007,pending,2026-01-15T00:00:00Z,2026-01-15T00:00:00Z
S15,C008,active,2025-07-04T08:00:00Z,2025-07-04T08:00:00Z
S16,C008,review,2026-01-01T00:00:00Z,2026-01-01T01:00:00Z
S17,C008,suspended,2026-01-01T00:00:00Z,2026-01-01T01:00:00Z
S18,C009,pending,2026-01-20T08:00:00Z,2026-01-20T08:00:00Z
S19,C010,pending,2026-02-02T00:00:00Z,2026-02-02T00:00:00Z
S20, c002 ,active,2026-02-02T00:00:00Z,2026-02-02T00:00:00Z
