source_record_id,customer_id,signup_time,region,segment,updated_at
CUST01,C001,2025-11-01T09:00:00Z,South,standard,2025-11-01T09:00:00Z
CUST02,c002,2025-12-01T12:00:00Z,West,premium,2025-12-01T12:00:00Z
CUST03,C003,2025-12-20T18:45:00Z,North,standard,2025-12-20T18:45:00Z
CUST04,C004,2026-01-05T12:00:00Z,East,premium,2026-01-05T12:00:00Z
CUST05,C005,2025-10-10T10:00:00-04:00,,standard,2025-10-10T14:00:00Z
CUST06,C006,2025-09-01T00:00:00Z,South,premium,2025-09-01T00:00:00Z
CUST07,C007,2026-01-15T00:00:00Z,West,standard,2026-01-15T00:00:00Z
CUST08,C008,2025-07-04T08:00:00Z,North,premium,2025-07-04T08:00:00Z
CUST09,C009,2026-01-20T08:00:00Z,East,standard,2026-01-20T08:00:00Z
CUST10,C010,2026-02-02T00:00:00Z,South,standard,2026-02-02T00:00:00Z
CUST11, c002 ,2025-12-01T12:00:00Z,Central,premium,2026-01-02T00:00:00Z
CUST12,C003,2025-12-20T18:45:00Z,South,premium,2025-12-20T18:45:00Z
CUST4B, c004 ,2026-01-05T12:00:00Z,Midwest,enterprise,2026-01-05T12:00:00Z
SRC9,C011,2025-12-15T00:00:00Z,West,standard,2026-01-03T00:00:00Z
SRC10, c011 ,2026-01-20T00:00:00Z,North,premium,2026-01-03T00:00:00Z
BLANK1,   ,2025-01-01T00:00:00Z,Nowhere,standard,2025-01-01T00:00:00Z
