event_record_id,event_id,customer_id,event_time,event_type,amount,ingested_at
R01,E001,C001,2025-12-16T00:00:00Z,login,,2025-12-16T00:01:00Z
R02,E002,C001,2025-12-16T00:00:01Z,Purchase,10.25,2025-12-16T00:01:00Z
R03,E003,C001,2026-01-08T00:00:00Z,login,,2026-01-08T00:01:00Z
R04,E004,C001,2026-01-08T00:00:01Z,purchase,20.00,2026-01-08T00:01:00Z
R05,E005,C001,2026-01-15T00:00:00Z,support,,2026-01-15T00:01:00Z
R06,E006,C001,2026-01-15T00:00:01Z,purchase,99.00,2026-01-15T00:01:00Z
R07,E007,C001,2026-01-25T12:00:00Z,purchase,,2026-01-25T12:01:00Z
R08,E008,C002,2025-12-10T12:00:00Z,login,,2025-12-10T12:01:00Z
R09,E009, c002 ,2026-01-14T19:00:00-05:00, PURCHASE ,12.50,2026-01-15T00:02:00Z
R10,E009,C002,2026-01-14T19:00:00-05:00,purchase,11.00,2026-01-15T00:01:00Z
R11,E010,C002,2026-01-28T00:00:00Z,login,,2026-01-28T00:01:00Z
R12,E011,C003,2026-01-01T10:00:00Z,login,,2026-01-01T10:01:00Z
R13,E012,C003,2026-01-14T10:00:00Z,,5.00,2026-01-14T10:01:00Z
R14,E013,C003,2026-01-31T23:59:59Z,purchase,5.75,2026-02-01T00:01:00Z
R15,E014,C004,2026-01-07T09:00:00Z,purchase,30.00,2026-01-07T09:01:00Z
R16,E015,C004,2026-01-20T09:00:00Z,support,,2026-01-20T09:01:00Z
R17,E016,C010,2025-12-01T00:00:00Z,login,,2025-12-01T00:01:00Z
R18,E017,C010,2026-01-09T00:00:00Z,purchase,7.00,2026-01-09T00:01:00Z
R19,E018,C010,2026-01-25T00:00:00Z,purchase,8.00,2026-01-25T00:01:00Z
R20,E019,C006,2025-09-02T00:00:00Z,login,,2025-09-02T00:01:00Z
R21,E020,C006,2026-01-02T00:00:00Z,purchase,100.00,2026-01-02T00:01:00Z
R22,E021,C006,2026-01-18T00:00:00Z,login,,2026-01-18T00:01:00Z
R23,E022,C007,2026-01-15T00:00:00Z,login,,2026-01-15T00:00:01Z
R24,E023,C007,2026-01-16T00:00:00Z,purchase,4.00,2026-01-16T00:01:00Z
R25,E024,C008,2025-12-31T23:59:59Z,purchase,2.25,2026-01-01T00:01:00Z
R26,E025,C008,2026-01-14T23:59:59Z,login,,2026-01-15T00:01:00Z
R27,E026,C008,2026-01-25T00:00:00Z,purchase,3.25,2026-01-25T00:01:00Z
R28,E027,C009,2026-01-19T00:00:00Z,login,,2026-01-19T00:01:00Z
R29,E028,C009,2026-01-20T08:00:00Z,purchase,6.00,2026-01-20T08:01:00Z
R30,E029,C009,2026-02-01T00:00:00Z,support,,2026-02-01T00:01:00Z
R31,E030,C010,2026-01-01T00:00:00Z,login,,2026-01-01T00:01:00Z
R32, e031 ,C001,2026-01-30T00:00:00Z,LOGIN,,2026-01-30T00:01:00Z
R33,E032,C002,2026-01-02T00:00:00Z,purchase,1.00,2026-01-02T00:01:00Z
R34,E033,C003,2026-01-25T00:00:00Z,purchase,,2026-01-25T00:01:00Z
R35,E034,C004,2026-01-02T00:00:00Z,login,,2026-01-02T00:01:00Z
R36,E035,C004,2026-02-01T00:00:00Z,purchase,9.99,2026-02-01T00:00:01Z
R37,E036,C005,2026-01-31T00:00:00Z,support,,2026-01-31T00:01:00Z
R38,E037,C006,2026-02-01T00:00:01Z,purchase,50.00,2026-02-01T00:01:00Z
R39,E038,C008,2026-01-15T00:00:00Z,purchase,1.50,2026-01-15T00:01:00Z
R40,E038,C008,2026-01-15T00:00:00Z,purchase,1.75,2026-01-15T00:01:00Z
