label_record_id,customer_id,cutoff_time,label,label_updated_at
L01,C001,2026-01-15T00:00:00Z,1,2026-02-10T00:00:00Z
L02,C001,2026-02-01T00:00:00Z,0,2026-02-10T00:00:00Z
L03,C002,2026-01-15T00:00:00Z,0,2026-02-10T00:00:00Z
L04,C002,2026-02-01T00:00:00Z,1,2026-02-10T00:00:00Z
L05,C003,2026-01-15T00:00:00Z,,2026-02-10T00:00:00Z
L06,C003,2026-02-01T00:00:00Z,1,2026-02-10T00:00:00Z
L07,C004,2026-01-15T00:00:00Z,0,2026-02-10T00:00:00Z
L08,C004,2026-02-01T00:00:00Z,1,2026-02-10T00:00:00Z
L09,C005,2026-01-15T00:00:00Z,0,2026-02-10T00:00:00Z
L10,C005,2026-02-01T00:00:00Z,0,2026-02-10T00:00:00Z
L11,C006,2026-01-15T00:00:00Z,1,2026-02-10T00:00:00Z
L12,C006,2026-02-01T00:00:00Z,,2026-02-10T00:00:00Z
L13,C007,2026-01-15T00:00:00Z,0,2026-02-10T00:00:00Z
L14,C007,2026-02-01T00:00:00Z,1,2026-02-10T00:00:00Z
L15,C008,2026-01-15T00:00:00Z,1,2026-02-10T00:00:00Z
L16,C008,2026-02-01T00:00:00Z,0,2026-02-10T00:00:00Z
L17,C009,2026-02-01T00:00:00Z,1,2026-02-10T00:00:00Z
L18, c002 ,2026-01-14T19:00:00-05:00,1,2026-02-09T00:00:00Z
L19,C002,2026-01-15T00:00:00Z,0,2026-02-10T00:00:00Z
L20,C010,2026-02-01T00:00:00Z,1,2026-02-10T00:00:00Z
L10X,C006,2026-02-01T00:00:00Z,0,2026-02-10T00:00:00Z
L9X,C006,2026-02-01T00:00:00Z,1,2026-02-10T00:00:00Z
